highlightedComments,highlightedCommentsActivityCounts,text,commentUrl,totalReactionCount,likeCount,appreciationCount,empathyCount,InterestCount,praiseCount,commentsCount,repostsCount,postUrl,postedAt,urn,author,company,article
"('It was great meeting you, Sedonia! Keep up the good work.',)","({'text': 'It was great meeting you, Sedonia! Keep up the good work.', 'totalReactionCount': 158, 'likeCount': 138, 'appreciationCount': 1, 'empathyCount': 13, 'praiseCount': 6},)","I met Bill Gates. Wow. Appreciative of his many years of philanthropy, and grateful for the scholarship that got me here!",https://www.linkedin.com/feed/update/urn:li:activity:7039770829634633728?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7039770829634633728%2C7040162827340304384%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287040162827340304384%2Curn%3Ali%3Aactivity%3A7039770829634633728%29,1291,1170,4.0,58,2.0,56,10,10.0,https://www.linkedin.com/feed/update/urn:li:activity:7040162860689227777/,1yr,7039770829634633728,"{'firstName': 'Sedonia', 'lastName': 'Davis', 'username': 'sedoniadavis', 'url': 'https://www.linkedin.com/in/sedoniadavis'}",{},{}
"('Thanks for having me, Kevin. I had a lot of fun chatting about the holy grail of computer science.',)","({'text': 'Thanks for having me, Kevin. I had a lot of fun chatting about the holy grail of computer science.', 'totalReactionCount': 29, 'likeCount': 25, 'appreciationCount': 1, 'InterestCount': 1, 'praiseCount': 2},)","Over the last few months, I’ve had the opportunity to meet with Bill Gates on a few occasions to talk about this unique moment within the history of computing and what the current AI revolution means for the future. Bill has had a front row view as we’ve moved through the PC revolution and the Internet revolution, and it was an honor to have him join me on #BehindTheTech. During our conversation, we reflected on our recent talks and discussed the latest in AI research, including the release of GPT-4, how AI is evolving his philanthropic work, how past technology revolutions have led us to where we are today, his love of reading, and so much more. Take a listen (https://lnkd.in/g5fgAjXB) or watch on YouTube (https://lnkd.in/gpTCd3bS). I am excited to hear what you all think!",https://www.linkedin.com/feed/update/urn:li:activity:7044037921305214977?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7044037921305214977%2C7044829779212058625%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287044829779212058625%2Curn%3Ali%3Aactivity%3A7044037921305214977%29,1009,928,3.0,32,33.0,13,54,89.0,https://www.linkedin.com/feed/update/urn:li:activity:7044829789920141312/,1yr,7044037921305214977,"{'firstName': 'Kevin', 'lastName': 'Scott', 'username': 'jkevinscott', 'url': 'https://www.linkedin.com/in/jkevinscott'}",{},"{'title': 'Behind the Tech Podcast with Kevin Scott - Microsoft', 'subtitle': 'microsoft.com', 'link': 'https://www.microsoft.com/en-us/behind-the-tech?SilentAuth=1'}"
"('Con-grad-ulations to you and all of your classmates! You deserve to celebrate.',)","({'text': 'Con-grad-ulations to you and all of your classmates! You deserve to celebrate.', 'totalReactionCount': 18, 'likeCount': 16, 'empathyCount': 2},)","Education, opportunity, and economic mobility are inextricably linked. That’s one of the reasons I love commencement ceremonies so much—even though I never had one of my own: Because they mark the start of a new stage in life for everyone involved, one with more possibility and potential than before. And seeing the pride on the faces of students and families is always a highlight. But I’m particularly excited to address the 2023 graduates of Northern Arizona University's College of Engineering, Informatics, and Applied Sciences and College of the Environment, Forestry, and Natural Sciences because the school has become a national leader in addressing one of the biggest challenges facing higher education today: the value students receive from their college degrees.",https://www.linkedin.com/feed/update/urn:li:ugcPost:7061796921991970819?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7061796921991970819%2C7061813550150791169%29&replyUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7061796921991970819%2C7062459497004335104%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287061813550150791169%2Curn%3Ali%3AugcPost%3A7061796921991970819%29&dashReplyUrn=urn%3Ali%3Afsd_comment%3A%287062459497004335104%2Curn%3Ali%3AugcPost%3A7061796921991970819%29,3533,3189,32.0,142,47.0,122,324,132.0,https://www.linkedin.com/feed/update/urn:li:activity:7062459562540347393/,1yr,7061796921991970819,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},"{'title': 'Why I’m going to Northern Arizona University', 'subtitle': 'Bill Gates on LinkedIn • 4 min read', 'link': 'https://www.linkedin.com/pulse/why-im-going-northern-arizona-university-bill-gates?trackingId=TS0%2Bl3Ph3387Sh2gStFN6g%3D%3D'}"
"('Dr. Lawniczak’s ingenious approach is quite fascinating.\xa0https://gatesnot.es/47uhziR',)","({'text': 'Dr. Lawniczak’s ingenious approach is quite fascinating.\xa0https://gatesnot.es/47uhziR', 'totalReactionCount': 106, 'likeCount': 98, 'appreciationCount': 1, 'empathyCount': 6, 'praiseCount': 1},)","Genetics are an increasingly important tool for fighting malaria. Partnering with the Natural History Museum in London, Mara Lawniczak from the Wellcome Sanger Institute studies 80-year-old mosquitoes—or “neandersquitoes.” These ancestor insects may hold the right information to stay one step ahead of today’s mosquitoes.",https://www.linkedin.com/feed/update/urn:li:ugcPost:7097643921110945793?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7097643921110945793%2C7097644402940006400%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287097644402940006400%2Curn%3Ali%3AugcPost%3A7097643921110945793%29,2051,1892,15.0,61,57.0,24,109,127.0,https://www.linkedin.com/feed/update/urn:li:activity:7097644465523200000/,1yr,7097643921110945793,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},{}
"('You can check your answer here: https://b-gat.es/45OnfTs',)","({'text': 'You can check your answer here: https://b-gat.es/45OnfTs', 'totalReactionCount': 34, 'likeCount': 32, 'InterestCount': 1, 'funnyCount': 1},)","Since 2016, progress on reducing maternal and neonatal mortality has stalled. But now, a decade of research is unlocking ways to save millions from preventable deaths—and it’s clear addressing child malnutrition is one of the keys. #Goalkeepers2030

You can check your answer here: https://b-gat.es/45OnfTs",https://www.linkedin.com/feed/update/urn:li:ugcPost:7107443543249448960?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7107443543249448960%2C7107444258235674624%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287107444258235674624%2Curn%3Ali%3AugcPost%3A7107443543249448960%29,720,650,31.0,23,6.0,10,178,34.0,https://www.linkedin.com/feed/update/urn:li:activity:7107444292792516609/,1yr,7107443543249448960,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},{}
"('Earlier this year,\xa0I also shared my thoughts on the age of AI: https://gatesnot.es/3ufhmRa and how to manage its risks: https://gatesnot.es/3MZNmzB.\xa0',)","({'text': 'Earlier this year,\xa0I also shared my thoughts on the age of AI: https://gatesnot.es/3ufhmRa and how to manage its risks: https://gatesnot.es/3MZNmzB.\xa0', 'totalReactionCount': 147, 'likeCount': 130, 'appreciationCount': 4, 'empathyCount': 5, 'InterestCount': 5, 'praiseCount': 3},)","Most of the AI tools available today are bots: You ask them questions, and they spit back whatever relevant information is available within a single website or app. But imagine if, instead, the thing you were communicating with could contextualize your request, remember your preferences, and accomplish tasks across apps. That’s an agent—and this type of AI tool is not far off. https://lnkd.in/g2X4hAaw #artificialintelligence",https://www.linkedin.com/feed/update/urn:li:activity:7128531594599927808?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7128531594599927808%2C7128531646814851073%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287128531646814851073%2Curn%3Ali%3Aactivity%3A7128531594599927808%29,10119,8814,42.0,260,891.0,105,619,1381.0,https://www.linkedin.com/feed/update/urn:li:activity:7128531669879324673/,11mo,7128531594599927808,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},"{'title': 'AI is about to completely change how you use computers', 'subtitle': 'gatesnotes.com', 'link': 'https://gatesnot.es/473YDqh'}"
"('This is great.',)","({'text': 'This is great.', 'totalReactionCount': 19, 'likeCount': 16, 'appreciationCount': 2, 'empathyCount': 1},)","This shook me - in the best possible way. 

The wonderful behavioural scientists and psychologists at BEworks just launched a report here at #cop28 on personality traits, mindsets and climate change. 

One discovery they made - a shockingly strong correlation between creativity  and climate optimism! Basically, the more creative your personality then the more likely you are to see solutions and answers to the climate crisis.

I guess I shouldn’t be surprised. For my book The Solutionists I found much higher levels of climate optimism amoungst folks actually working on answers. But it’s stark to see the psychological correlation laid out like this. Inventiveness, lateral thinking, imagination - creative traits that can see a way through the fuggy mess we’re in.

Futerra has been bringing creativity and storytelling here to #cop28uae - but after the dust settles we’ll continue bringing climate to the entertainment industry, social media and the culture sector. Because we must recruit the creatives into climate action. If we want a better future, we need to imagine it first! 

On second thoughts, maybe I’m not that shocked by this research after all 😉

The full report is here: https://lnkd.in/gDVd5aqF",https://www.linkedin.com/feed/update/urn:li:activity:7138561482610380801?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7138561482610380801%2C7140467322384769025%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287140467322384769025%2Curn%3Ali%3Aactivity%3A7138561482610380801%29,821,580,13.0,92,114.0,22,94,113.0,https://www.linkedin.com/feed/update/urn:li:activity:7140467346153889794/,10mo,7138561482610380801,"{'firstName': 'Solitaire', 'lastName': 'Townsend', 'username': 'solitairetownsend', 'url': 'https://www.linkedin.com/in/solitairetownsend'}",{},{}
"('Os investimentos do Brasil em iniciativas-chave de saúde pública ajudaram a tirar famílias da pobreza e a melhorar os indicadores de saúde. O mundo pode aprender muito com a abordagem do país.',)","({'text': 'Os investimentos do Brasil em iniciativas-chave de saúde pública ajudaram a tirar famílias da pobreza e a melhorar os indicadores de saúde. O mundo pode aprender muito com a abordagem do país.', 'totalReactionCount': 119, 'likeCount': 99, 'appreciationCount': 1, 'empathyCount': 12, 'InterestCount': 1, 'praiseCount': 6},)",Brazil’s investments in key public health initiatives have helped lift families out of poverty and improve health outcomes. There’s a lot the world can learn from the country’s approach.,https://www.linkedin.com/feed/update/urn:li:ugcPost:7141486713620578305?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7141486713620578305%2C7141487738603601920%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287141487738603601920%2Curn%3Ali%3AugcPost%3A7141486713620578305%29,2028,1781,64.0,104,19.0,58,153,143.0,https://www.linkedin.com/feed/update/urn:li:activity:7141487771059183617/,10mo,7141486713620578305,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},{}
"(""Here's an in-depth look:\xa0https://b-gat.es/46bJe6i"",)","({'text': ""Here's an in-depth look:\xa0https://b-gat.es/46bJe6i"", 'totalReactionCount': 59, 'likeCount': 51, 'appreciationCount': 2, 'empathyCount': 1, 'praiseCount': 4, 'funnyCount': 1},)","The case for climate action is clear. Fortunately, we've made tremendous progress innovating across every area of emissions. Solutions to these challenges are within our reach if we double down on investing in human ingenuity.",https://www.linkedin.com/feed/update/urn:li:activity:7150892036320055297?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7150892036320055297%2C7150892340058963968%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287150892340058963968%2Curn%3Ali%3Aactivity%3A7150892036320055297%29,1305,1165,34.0,20,64.0,18,201,71.0,https://www.linkedin.com/feed/update/urn:li:activity:7150892363278643202/,9mo,7150892036320055297,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},"{'title': 'See How 2023 Shattered Records to Become the Hottest Year', 'subtitle': 'nytimes.com', 'link': 'https://b-gat.es/4aU8d1h'}"
"(""Congratulations, Chris. I can't wait to read this book—and for all your readers to learn just how contagious\xa0kindness can be.\u200b"",)","({'text': ""Congratulations, Chris. I can't wait to read this book—and for all your readers to learn just how contagious\xa0kindness can be.\u200b"", 'totalReactionCount': 150, 'likeCount': 131, 'appreciationCount': 2, 'empathyCount': 11, 'InterestCount': 4, 'praiseCount': 2},)","I'm so happy that after a three-year labor of love this is book is finally published. It argues that the combination of new findings in psychology and the incredible connectedness of the modern world create a new way to think about generosity. One that just might help turn the tide on today's mean, cynical, angry, divided culture.  Seems daunting... Maybe crazy...  But if kindness can go viral, all bets are off.  

I truly believe that any forward-leaning company can benefit from brainstorming its own generosity strategy.  And yes, I use the word strategy very deliberately. 

I really hope some of you will get a chance to read this. And I would be fascinated to hear what you make of it.  You can find links to the seller of your choice at https://lnkd.in/edg6JzZM  
(also a link to our delightful new generosity AI!)

P.S. All proceeds from the book go to support the mission of TED, the nonprofit where I've been joyfully volunteering these past 20 years.",https://www.linkedin.com/feed/update/urn:li:activity:7155582506279292928?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7155582506279292928%2C7155613786916147200%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287155613786916147200%2Curn%3Ali%3Aactivity%3A7155582506279292928%29,992,770,11.0,95,6.0,108,110,61.0,https://www.linkedin.com/feed/update/urn:li:activity:7155613805123661824/,8mo,7155582506279292928,"{'firstName': 'Chris', 'lastName': 'Anderson', 'username': 'chris-anderson-3b2a05bb', 'url': 'https://www.linkedin.com/in/chris-anderson-3b2a05bb'}",{},{}
"('It’s 99%! This is just one example, among many Hannah Ritchie shares in her book and on my podcast that proves we can successfully tackle environmental challenges—because we already have. You can listen to our full conversation here:\xa0https://gatesnot.es/3HVeugc',)","({'text': 'It’s 99%! This is just one example, among many Hannah Ritchie shares in her book and on my podcast that proves we can successfully tackle environmental challenges—because we already have. You can listen to our full conversation here:\xa0https://gatesnot.es/3HVeugc', 'totalReactionCount': 1293, 'likeCount': 1006, 'appreciationCount': 9, 'empathyCount': 59, 'InterestCount': 86, 'praiseCount': 130, 'funnyCount': 3},)",Remember the ozone layer that once dominated all our headlines?,https://www.linkedin.com/feed/update/urn:li:ugcPost:7161761632195469312?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7161761632195469312%2C7161761865272942592%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287161761865272942592%2Curn%3Ali%3AugcPost%3A7161761632195469312%29,3761,3384,36.0,101,153.0,60,691,176.0,https://www.linkedin.com/feed/update/urn:li:activity:7161761894305845248/,8mo,7161761632195469312,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},{}
"('Congratulations, Paulin. Thank you for\xa0your continued commitment to global development across the continent. Looking forward to continuing our work together in the years ahead.\xa0',)","({'text': 'Congratulations, Paulin. Thank you for\xa0your continued commitment to global development across the continent. Looking forward to continuing our work together in the years ahead.\xa0', 'totalReactionCount': 20, 'likeCount': 18, 'empathyCount': 2},)","I'm thrilled to embark on a new chapter as the Africa Director at the Bill & Melinda Gates Foundation. 

For 12 years, I’ve been privileged to contribute to health and development initiatives, working alongside our inspiring partners to tackle the world’s most pressing development challenges.

Now, I’m honored to take on a new challenge leading our remarkable teams in Africa. I’m committed to finding innovative solutions to improve health outcomes, promote gender equality and financial inclusion, and build climate resilience and sustainable development. 

Together with our partners and many governments we work with, we’ll champion innovative solutions, drive real progress, and advance the foundation’s mission of creating a world where everyone has the opportunity to live a healthy, productive life. 

#Leadership #Impact",https://www.linkedin.com/feed/update/urn:li:activity:7169353590866690049?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7169353590866690049%2C7170557620066377728%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287170557620066377728%2Curn%3Ali%3Aactivity%3A7169353590866690049%29,894,619,6.0,57,1.0,211,267,20.0,https://www.linkedin.com/feed/update/urn:li:activity:7170557663863398400/,7mo,7169353590866690049,"{'firstName': 'Paulin', 'lastName': 'BASINGA', 'username': 'paulin-basinga-88309176', 'url': 'https://www.linkedin.com/in/paulin-basinga-88309176'}",{},{}
"('You can read more about the vital role of transmission in achieving net zero here: https://b-gat.es/44uRgrv',)","({'text': 'You can read more about the vital role of transmission in achieving net zero here: https://b-gat.es/44uRgrv', 'totalReactionCount': 79, 'likeCount': 71, 'appreciationCount': 4, 'empathyCount': 1, 'InterestCount': 3},)","The electric grid is essential to the clean energy transition, but our existing system isn’t cutting it. With increasing demands, it's time to use new technologies to get more out of our existing grid—like replacing power lines with advanced conductors—while we expand the grid to meet the needs of the 21st century.",https://www.linkedin.com/feed/update/urn:li:activity:7192551934417854464?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7192551934417854464%2C7192552110272532480%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287192552110272532480%2Curn%3Ali%3Aactivity%3A7192551934417854464%29,3661,3377,54.0,42,153.0,31,393,205.0,https://www.linkedin.com/feed/update/urn:li:activity:7192552146611892224/,5mo,7192551934417854464,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},"{'title': 'The U.S. Urgently Needs a Bigger Grid. Here’s a Fast Solution.', 'subtitle': 'nytimes.com', 'link': 'https://b-gat.es/3QywotQ'}"
"('This picture is from Helsingør, Denmark. Helsingør, also known as Elsinore, is home to Kronborg Castle, the setting for Shakespeare’s Hamlet.',)","({'text': 'This picture is from Helsingør, Denmark. Helsingør, also known as Elsinore, is home to Kronborg Castle, the setting for Shakespeare’s Hamlet.', 'totalReactionCount': 893, 'likeCount': 786, 'appreciationCount': 6, 'empathyCount': 68, 'InterestCount': 24, 'praiseCount': 9},)","""To thine own self be true:” I can never stop reading, even when I'm traveling for work.",https://www.linkedin.com/feed/update/urn:li:activity:7193364356628111361?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7193364356628111361%2C7193364419173572608%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287193364419173572608%2Curn%3Ali%3Aactivity%3A7193364356628111361%29,17472,16179,102.0,783,69.0,311,747,283.0,https://www.linkedin.com/feed/update/urn:li:activity:7193364433568518144/,5mo,7193364356628111361,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},{}
"('Sal Khan The early days of a new use case for technology are always interesting—it’s exciting to hear the positive feedback so far!',)","({'text': 'Sal Khan The early days of a new use case for technology are always interesting—it’s exciting to hear the positive feedback so far!', 'totalReactionCount': 10, 'likeCount': 9, 'praiseCount': 1},)",No technology is a silver bullet for education. But I believe AI can be a game-changer and great equalizer in the classroom.,https://www.linkedin.com/feed/update/urn:li:ugcPost:7208875483386585090?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7208875483386585090%2C7208880439405551617%29&replyUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7208875483386585090%2C7209019730509131777%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287208880439405551617%2Curn%3Ali%3AugcPost%3A7208875483386585090%29&dashReplyUrn=urn%3Ali%3Afsd_comment%3A%287209019730509131777%2Curn%3Ali%3AugcPost%3A7208875483386585090%29,4985,4618,102.0,147,59.0,42,2368,279.0,https://www.linkedin.com/feed/update/urn:li:activity:7209019760003477505/,4mo,7208875483386585090,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},{}
"('Thanks for a fascinating conversation!',)","({'text': 'Thanks for a fascinating conversation!', 'totalReactionCount': 25, 'likeCount': 22, 'empathyCount': 2, 'praiseCount': 1},)","Hey folks, We have a pretty exciting guest on the Next Big Idea podcast this week — Bill Gates.

The topic? Artificial Intelligence, and how it will change our world. 

Here's a small sampling of the points Bill makes in this conversation:

- Superhuman AI is coming. 
- There is no clear way to slow it down. 
- The technology available today is *already* a game changer. 
- We will all soon have intelligent agents that function as ""executive assistants, mental therapists, and friends.""
- AI has the potential to help us solve the most intractable global problems, it has the potential to help us all get along better, and it's likely to deliver us to a world of superabundance. But it also poses ""novel"" threats, given the pace of it's acceleration and the lack of ""clear upper bound"" of it's capability. 

Listen on Apple or Spotify ... I look forward to discussing with you in the comments below!

https://lnkd.in/enx2qmNU

https://lnkd.in/e9cPaxtG

https://lnkd.in/enx2qmNU",https://www.linkedin.com/feed/update/urn:li:ugcPost:7212156560167366656?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7212156560167366656%2C7213279873539137537%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287213279873539137537%2Curn%3Ali%3AugcPost%3A7212156560167366656%29,115,99,1.0,7,4.0,3,24,3.0,https://www.linkedin.com/feed/update/urn:li:activity:7213279886646337536/,3mo,7212156560167366656,"{'firstName': 'Rufus', 'lastName': 'Griscom', 'username': 'rufus-griscom-16b1', 'url': 'https://www.linkedin.com/in/rufus-griscom-16b1'}",{},"{'title': 'A Conversation With Bill Gates About the Dawn of Superhuman AI', 'subtitle': 'Rufus Griscom on LinkedIn • 3 min read', 'link': 'https://www.linkedin.com/pulse/conversation-bill-gates-dawn-superhuman-ai-rufus-griscom-0ssse?trackingId=ZC1syufLyVt1wV8%2FlzZCzQ%3D%3D'}"
"('Take a look at\xa0Breakthrough Energy CTO Eric Toone discuss the importance of clean firm generation in his recent talk at #BESummit24, Energy is Prosperity:\xa0https://b-gat.es/3LGfabb',)","({'text': 'Take a look at\xa0Breakthrough Energy CTO Eric Toone discuss the importance of clean firm generation in his recent talk at #BESummit24, Energy is Prosperity:\xa0https://b-gat.es/3LGfabb', 'totalReactionCount': 88, 'likeCount': 78, 'appreciationCount': 2, 'empathyCount': 4, 'InterestCount': 1, 'praiseCount': 3},)","It's great to see this bipartisan commitment to advance American leadership on clean energy. Resilient, reliable power—including from nuclear—is critical for economic growth, competitiveness, and our ability to build a better future.",https://www.linkedin.com/feed/update/urn:li:activity:7217541118656180225?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7217541118656180225%2C7217541477906685952%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287217541477906685952%2Curn%3Ali%3Aactivity%3A7217541118656180225%29,2475,2266,23.0,81,51.0,51,314,94.0,https://www.linkedin.com/feed/update/urn:li:activity:7217541492137979905/,3mo,7217541118656180225,"{'firstName': 'Bill', 'lastName': 'Gates', 'username': 'williamhgates', 'url': 'https://www.linkedin.com/in/williamhgates'}",{},"{'title': 'Biden signs bill bolstering nuclear power', 'subtitle': 'thehill.com', 'link': 'https://b-gat.es/4bF0UKb'}"
"(""Thanks for having me. It’s inspiring to see how far research for Alzheimer's has come."",)","({'text': ""Thanks for having me. It’s inspiring to see how far research for Alzheimer's has come."", 'totalReactionCount': 37, 'likeCount': 32, 'empathyCount': 5},)","This afternoon, we welcomed Bill Gates as he toured labs at the Indiana University School of Medicine and met with key faculty members to learn more about the expansive Alzheimer’s disease research happening right here in Indianapolis.",https://www.linkedin.com/feed/update/urn:li:ugcPost:7231813250051383296?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7231813250051383296%2C7234959305127444481%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287234959305127444481%2Curn%3Ali%3AugcPost%3A7231813250051383296%29,3263,2860,13.0,193,9.0,183,103,179.0,https://www.linkedin.com/feed/update/urn:li:activity:7234959317982920704/,1mo,7231813250051383296,{},"{'name': 'Indiana University School of Medicine', 'url': 'https://www.linkedin.com/school/indiana-university-school-of-medicine/', 'urn': 'urn:li:fsd_company:3323'}",{}
"('Thanks for having me. It was great to learn more about the research happening on campus.',)","({'text': 'Thanks for having me. It was great to learn more about the research happening on campus.', 'totalReactionCount': 9, 'likeCount': 5, 'empathyCount': 2, 'praiseCount': 2},)","I want to extend a sincere thank you to Bill Gates for visiting the Indiana University School of Medicine, where he explored our cutting-edge Alzheimer's disease research. We're grateful for his interest in our work and look forward to continuing our shared mission to improve human health.",https://www.linkedin.com/feed/update/urn:li:ugcPost:7232022914726866946?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7232022914726866946%2C7234959219521691648%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287234959219521691648%2Curn%3Ali%3AugcPost%3A7232022914726866946%29,1756,1472,16.0,132,1.0,132,52,63.0,https://www.linkedin.com/feed/update/urn:li:activity:7234959225364344832/,1mo,7232022914726866946,"{'firstName': 'Pamela', 'lastName': 'Whitten', 'username': 'pamela-whitten-1b386516a', 'url': 'https://www.linkedin.com/in/pamela-whitten-1b386516a'}",{},{}
"('Congratulations Brad\xa0and Carol Ann! Your insights have never been more relevant, and I am glad others will have the chance to benefit from them too.\xa0',)","({'text': 'Congratulations Brad\xa0and Carol Ann! Your insights have never been more relevant, and I am glad others will have the chance to benefit from them too.\xa0', 'totalReactionCount': 1894, 'likeCount': 1894},)",,https://www.linkedin.com/feed/update/urn:li:article:8768596886901342823?commentUrn=urn%3Ali%3Acomment%3A%28article%3A8768596886901342823%2C6577247584149131264%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286577247584149131264%2Curn%3Ali%3Aarticle%3A8768596886901342823%29,9300,8931,,59,122.0,159,291,,https://www.linkedin.com/feed/update/urn:li:activity:6577247693494640640/,,8768596886901342823,{},{},"{'title': 'A Look Inside Tools and Weapons: The Promise and the Peril of the Digital Age', 'subtitle': 'Brad Smith on LinkedIn', 'link': 'https://www.linkedin.com/pulse/look-inside-tools-weapons-promise-peril-digital-age-brad-smith'}"
